#{"t_start": 1562338521.2406132, "env_id": "CarIntersect-v1"}
r,l,t
-3.0,3950,17.700917
-3.0,3947,41.54762
-3.0,4239,70.669495
-3.0,4836,110.801033
-4.0,3944,146.30351
-4.0,3955,185.383014
-5.0,3060,218.616977
-4.0,3813,263.531561
-4.0,3203,305.150054
-3.0,4830,373.734554
-5.0,2551,412.288036
-3.0,3055,460.79675
-5.0,2235,497.677655
-4.0,3013,548.803865
-3.0,3058,603.594753
-3.0,3356,666.725518
-4.0,3301,730.675339
1.0,4558,825.446718
-4.0,3064,891.944366
-4.0,3335,966.85572
-5.0,2188,1017.377459
-4.0,2158,1069.092831
-6.0,1614,1108.172221
2.0,3698,1199.143403
-6.0,1609,1239.751127
1.0,2450,1303.445207
